100 4950
13 53 94
13 54 93
13 55 83
13 56 95
13 57 100
13 58 97
13 59 92
13 60 98
13 61 82
13 62 83
13 63 93
13 64 101
13 65 83
13 66 87
13 67 84
13 68 88
13 69 99
13 70 80
13 71 89
13 72 95
13 73 82
13 74 92
13 75 88
13 76 95
13 77 82
13 78 99
13 79 80
13 80 93
13 81 92
13 82 101
13 83 98
13 84 101
13 85 87
13 86 93
13 87 92
13 88 81
13 89 96
13 90 101
13 91 92
13 92 97
13 93 93
13 94 98
13 95 83
13 96 100
13 97 91
13 98 94
13 99 80
14 15 85
14 16 90
14 17 95
14 18 93
14 19 101
14 20 80
14 21 99
14 22 84
14 23 81
14 24 96
14 25 97
14 26 81
14 27 81
14 28 89
14 29 80
14 30 99
14 31 101
14 32 97
14 33 93
14 34 92
14 35 86
14 36 85
14 37 101
14 38 99
14 39 95
14 40 82
14 41 97
14 42 89
14 43 82
14 44 100
14 45 101
14 46 98
14 47 85
14 48 100
14 49 93
14 50 83
14 51 85
14 52 93
14 53 98
14 54 84
14 55 88
14 56 82
14 57 88
14 58 87
14 59 90
14 60 89
14 61 95
14 62 86
14 63 100
14 64 85
14 65 94
14 66 98
14 67 86
14 68 88
14 69 89
14 70 91
14 71 85
14 72 82
14 73 97
14 74 80
14 75 84
14 76 100
14 77 82
14 78 90
14 79 91
14 80 82
14 81 82
14 82 81
14 83 95
14 84 87
14 85 96
14 86 95
14 87 99
14 88 96
14 89 85
14 90 84
14 91 84
14 92 94
14 93 95
14 94 88
14 95 92
14 96 91
14 97 81
14 98 81
14 99 101
15 16 90
15 17 80
15 18 81
15 19 97
15 20 80
15 21 95
15 22 98
15 23 100
15 24 80
15 25 82
15 26 83
15 27 96
15 28 84
15 29 90
15 30 99
15 31 101
15 32 97
15 33 80
15 34 81
15 35 80
15 36 85
15 37 84
15 38 95
15 39 83
15 40 80
15 41 84
15 42 85
15 43 87
15 44 91
15 45 89
15 46 80
15 47 84
15 48 96
15 49 91
15 50 87
15 51 97
15 52 100
15 53 88
15 54 82
15 55 84
15 56 96
15 57 85
15 58 93
15 59 100
15 60 91
15 61 80
15 62 86
15 63 98
15 64 89
15 65 87
15 66 85
15 67 101
15 68 82
15 69 90
15 70 90
15 71 101
15 72 96
15 73 84
15 74 81
15 75 94
15 76 88
15 77 100
15 78 99
15 79 99
15 80 80
15 81 100
15 82 95
15 83 99
15 84 101
15 85 89
15 86 80
15 87 101
15 88 82
15 89 93
15 90 87
15 91 94
15 92 94
15 93 94
15 94 90
15 95 85
15 96 82
15 97 99
15 98 95
15 99 85
16 17 89
16 18 87
16 19 94
16 20 97
16 21 90
16 22 100
16 23 100
16 24 95
16 25 85
16 26 85
16 27 92
16 28 94
16 29 80
16 30 81
16 31 81
16 32 99
16 33 99
16 34 93
16 35 83
16 36 80
16 37 89
16 38 101
16 39 81
16 40 89
16 41 99
16 42 97
16 43 97
16 44 99
16 45 94
16 46 90
16 47 101
16 48 88
16 49 87
16 50 96
16 51 84
16 52 89
16 53 89
16 54 94
16 55 80
16 56 92
16 57 101
16 58 93
16 59 91
16 60 86
16 61 87
16 62 100
16 63 98
16 64 95
16 65 99
16 66 99
16 67 96
16 68 83
16 69 99
16 70 88
16 71 85
16 72 86
16 73 82
16 74 99
16 75 90
16 76 88
16 77 95
16 78 96
16 79 100
16 80 80
16 81 93
16 82 85
16 83 87
16 84 96
16 85 81
16 86 99
16 87 99
16 88 99
16 89 91
16 90 92
16 91 93
16 92 83
16 93 90
16 94 86
16 95 91
16 96 90
16 97 85
16 98 81
16 99 99
17 18 84
17 19 99
17 20 90
17 21 97
17 22 91
17 23 95
17 24 89
17 25 99
17 26 92
17 27 94
17 28 89
17 29 86
17 30 93
17 31 92
17 32 99
17 33 82
17 34 93
17 35 93
17 36 85
17 37 83
17 38 96
17 39 88
17 40 89
17 41 89
17 42 93
17 43 93
17 44 84
17 45 82
17 46 84
17 47 87
17 48 81
17 49 99
17 50 90
17 51 101
17 52 98
17 53 93
17 54 89
17 55 80
17 56 82
17 57 101
17 58 98
17 59 96
17 60 90
17 61 93
17 62 84
17 63 94
17 64 101
17 65 100
17 66 101
17 67 90
17 68 97
17 69 85
17 70 90
17 71 94
17 72 81
17 73 80
17 74 86
17 75 91
17 76 91
17 77 90
17 78 87
17 79 86
17 80 99
17 81 90
17 82 87
17 83 90
17 84 97
17 85 89
17 86 88
17 87 81
17 88 96
17 89 94
17 90 82
17 91 80
17 92 87
17 93 85
17 94 88
17 95 100
17 96 93
17 97 92
17 98 93
17 99 92
18 19 80
18 20 98
18 21 83
18 22 87
18 23 96
18 24 101
18 25 100
18 26 84
18 27 99
18 28 90
18 29 99
18 30 86
18 31 91
18 32 88
18 33 80
18 34 101
18 35 97
18 36 89
18 37 97
18 38 99
18 39 84
18 40 95
18 41 82
18 42 80
18 43 82
18 44 81
18 45 82
18 46 95
18 47 88
18 48 83
18 49 80
18 50 89
18 51 89
18 52 89
18 53 89
18 54 96
18 55 94
18 56 84
18 57 92
18 58 82
18 59 92
18 60 87
18 61 98
18 62 94
18 63 92
18 64 80
18 65 85
18 66 98
18 67 81
18 68 98
18 69 99
18 70 84
18 71 86
18 72 99
18 73 81
18 74 91
18 75 94
18 76 88
18 77 88
18 78 100
18 79 91
18 80 92
18 81 96
18 82 92
18 83 87
18 84 88
18 85 86
18 86 94
18 87 99
18 88 95
18 89 81
18 90 90
18 91 91
18 92 84
18 93 81
18 94 97
18 95 93
18 96 82
18 97 82
18 98 93
18 99 101
19 20 92
19 21 88
19 22 82
19 23 81
19 24 80
19 25 95
19 26 97
19 27 91
19 28 81
19 29 97
19 30 92
19 31 83
19 32 92
19 33 81
19 34 94
19 35 85
19 36 85
19 37 84
19 38 90
19 39 95
19 40 89
19 41 83
19 42 89
19 43 89
19 44 100
19 45 101
19 46 94
19 47 97
19 48 97
19 49 83
19 50 89
19 51 86
19 52 93
19 53 85
19 54 86
19 55 96
19 56 93
19 57 95
19 58 90
19 59 101
19 60 83
19 61 95
19 62 92
19 63 82
19 64 85
19 65 98
19 66 94
19 67 86
19 68 85
19 69 86
19 70 96
19 71 85
19 72 81
19 73 96
19 74 100
19 75 89
19 76 84
19 77 101
19 78 101
19 79 93
19 80 97
19 81 93
19 82 89
19 83 92
19 84 96
19 85 90
19 86 92
19 87 91
19 88 95
19 89 99
19 90 100
19 91 80
19 92 95
19 93 95
19 94 99
19 95 83
19 96 95
19 97 84
19 98 90
19 99 82
20 21 98
20 22 87
20 23 84
20 24 81
20 25 99
20 26 83
20 27 83
20 28 98
20 29 93
20 30 91
20 31 90
20 32 88
20 33 95
20 34 99
20 35 100
20 36 85
20 37 84
20 38 96
20 39 92
20 40 90
20 41 95
20 42 81
20 43 86
20 44 92
20 45 86
20 46 88
20 47 94
20 48 80
20 49 94
20 50 88
20 51 93
20 52 87
20 53 98
20 54 80
20 55 80
20 56 94
20 57 95
20 58 82
20 59 92
20 60 90
20 61 98
20 62 95
20 63 85
20 64 99
20 65 92
20 66 91
20 67 97
20 68 99
20 69 82
20 70 87
20 71 98
20 72 87
20 73 81
20 74 97
20 75 84
20 76 88
20 77 101
20 78 93
20 79 94
20 80 96
20 81 95
20 82 91
20 83 81
20 84 89
20 85 93
20 86 94
20 87 83
20 88 93
20 89 90
20 90 84
20 91 83
20 92 86
20 93 98
20 94 80
20 95 98
20 96 82
20 97 82
20 98 88
20 99 101
21 22 87
21 23 101
21 24 84
21 25 96
21 26 82
21 27 92
21 28 81
21 29 86
21 30 97
21 31 83
21 32 86
21 33 100
21 34 85
21 35 86
21 36 97
21 37 96
21 38 97
21 39 96
21 40 95
21 41 94
21 42 93
21 43 100
21 44 92
21 45 98
21 46 93
21 47 84
21 48 82
21 49 83
21 50 100
21 51 80
21 52 100
21 53 81
21 54 80
21 55 99
21 56 86
21 57 94
21 58 82
21 59 85
21 60 87
21 61 93
21 62 90
21 63 101
21 64 94
21 65 81
21 66 95
21 67 86
21 68 101
21 69 87
21 70 99
21 71 90
21 72 101
21 73 80
21 74 95
21 75 84
21 76 100
21 77 90
21 78 100
21 79 90
21 80 95
21 81 92
21 82 85
21 83 100
21 84 85
21 85 86
21 86 86
21 87 81
21 88 86
21 89 80
21 90 84
21 91 91
21 92 92
21 93 101
21 94 91
21 95 96
21 96 99
21 97 95
21 98 94
21 99 96
22 23 98
22 24 83
22 25 80
22 26 82
22 27 83
22 28 99
22 29 97
22 30 91
22 31 88
22 32 83
22 33 90
22 34 85
22 35 81
22 36 95
22 37 90
22 38 92
22 39 97
22 40 86
22 41 100
22 42 95
22 43 99
22 44 83
22 45 82
22 46 91
22 47 87
22 48 90
22 49 97
22 50 94
22 51 87
22 52 84
22 53 94
22 54 80
22 55 94
22 56 82
22 57 93
22 58 87
22 59 99
22 60 96
22 61 94
22 62 81
22 63 84
22 64 94
22 65 83
22 66 83
22 67 99
22 68 81
22 69 97
22 70 86
22 71 91
22 72 81
22 73 101
22 74 94
22 75 89
22 76 81
22 77 88
22 78 90
22 79 87
22 80 86
22 81 94
22 82 88
22 83 97
22 84 86
22 85 82
22 86 95
22 87 98
22 88 92
22 89 99
22 90 87
22 91 94
22 92 90
22 93 91
22 94 88
22 95 101
22 96 89
22 97 97
22 98 87
22 99 80
23 24 84
23 25 85
23 26 86
23 27 86
23 28 91
23 29 95
23 30 100
23 31 95
23 32 88
23 33 85
23 34 91
23 35 82
23 36 82
23 37 89
23 38 97
23 39 94
23 40 100
23 41 97
23 42 86
23 43 93
23 44 82
23 45 80
23 46 98
23 47 99
23 48 84
23 49 96
23 50 87
23 51 95
23 52 84
23 53 97
23 54 92
23 55 100
23 56 95
23 57 85
23 58 81
23 59 97
23 60 85
23 61 82
23 62 96
23 63 94
23 64 93
23 65 86
23 66 89
23 67 97
23 68 94
23 69 96
23 70 94
23 71 82
23 72 92
23 73 81
23 74 93
23 75 89
23 76 94
23 77 100
23 78 87
23 79 98
23 80 100
23 81 89
23 82 94
23 83 87
23 84 93
23 85 91
23 86 99
23 87 89
23 88 89
23 89 100
23 90 80
23 91 99
23 92 85
23 93 83
23 94 93
23 95 84
23 96 94
23 97 100
23 98 87
23 99 97
24 25 91
24 26 98
24 27 82
24 28 84
24 29 92
24 30 100
24 31 92
24 32 87
24 33 89
24 34 92
24 35 91
24 36 82
24 37 97
24 38 83
24 39 99
24 40 101
24 41 81
24 42 91
24 43 83
24 44 95
24 45 89
24 46 83
24 47 90
24 48 83
24 49 85
24 50 97
24 51 90
24 52 91
24 53 80
24 54 82
24 55 98
24 56 99
24 57 95
24 58 87
24 59 87
24 60 98
24 61 97
24 62 91
24 63 92
24 64 95
24 65 89
24 66 100
24 67 82
24 68 96
24 69 86
24 70 93
24 71 94
24 72 80
24 73 93
24 74 84
24 75 100
24 76 100
24 77 85
24 78 85
24 79 80
24 80 92
24 81 92
24 82 85
24 83 80
24 84 101
24 85 95
24 86 82
24 87 88
24 88 94
24 89 91
24 90 93
24 91 83
24 92 88
24 93 99
24 94 95
24 95 84
24 96 100
24 97 87
24 98 98
24 99 85
25 26 89
25 27 99
25 28 94
25 29 93
25 30 98
25 31 99
25 32 90
25 33 89
25 34 89
25 35 85
25 36 98
25 37 89
25 38 97
25 39 88
25 40 87
25 41 87
25 42 84
25 43 89
25 44 81
25 45 97
25 46 90
25 47 94
25 48 92
25 49 80
25 50 84
25 51 96
25 52 88
25 53 94
25 54 84
25 55 87
25 56 87
25 57 87
25 58 100
25 59 82
25 60 90
25 61 100
25 62 84
25 63 94
25 64 90
25 65 90
25 66 82
25 67 87
25 68 91
25 69 80
25 70 93
25 71 98
25 72 99
25 73 97
25 74 99
25 75 95
25 76 99
25 77 96
25 78 89
25 79 101
25 80 85
25 81 85
25 82 98
25 83 91
25 84 88
25 85 97
25 86 96
25 87 90
25 88 86
25 89 88
25 90 89
25 91 88
25 92 85
25 93 97
25 94 97
25 95 97
25 96 100
25 97 93
25 98 84
25 99 94
26 27 93
26 28 83
26 29 82
26 30 97
26 31 92
26 32 84
26 33 94
26 34 87
26 35 98
26 36 92
26 37 97
26 38 97
26 39 94
26 40 100
26 41 85
26 42 85
26 43 89
26 44 83
26 45 85
26 46 101
26 47 82
26 48 100
26 49 86
26 50 92
26 51 86
26 52 96
26 53 94
26 54 92
26 55 81
26 56 83
26 57 84
26 58 85
26 59 85
26 60 80
26 61 90
26 62 81
26 63 91
26 64 93
26 65 93
26 66 84
26 67 86
26 68 80
26 69 88
26 70 86
26 71 91
26 72 88
26 73 94
26 74 100
26 75 83
26 76 100
26 77 94
26 78 84
26 79 98
26 80 94
26 81 99
26 82 83
26 83 91
26 84 92
26 85 83
26 86 98
26 87 100
26 88 83
26 89 82
26 90 99
26 91 87
26 92 94
26 93 91
26 94 93
26 95 91
26 96 83
26 97 95
26 98 97
26 99 82
27 28 91
27 29 90
27 30 80
27 31 83
27 32 95
27 33 97
27 34 82
27 35 80
27 36 80
